"id","name","temperature","humidity","light_intensity","soil_moisture","STATUS","time"
"1","Caisim 1","33.8","52.1","13945.4","High",NULL,"2021-11-29 13:50:32"
"2","Caisim 2","33.8","52.1","13942.1","High",NULL,"2021-11-29 13:50:32"
"3","Caisim 3","33.8","52.1","13942.1","High",NULL,"2021-11-29 13:50:32"
"4","Caisim 4","33.8","52.1","13939.2","Low",NULL,"2021-11-29 13:50:32"
"5","Caisim 5","33.8","52.1","13935.8","High",NULL,"2021-11-29 13:50:32"
"6","Caisim 1","33.7","53","14860.8","High",NULL,"2021-11-29 13:51:33"
"7","Caisim 2","33.7","53","14874.2","High",NULL,"2021-11-29 13:51:33"
"8","Caisim 3","33.7","53","14874.6","High",NULL,"2021-11-29 13:51:34"
"9","Caisim 4","33.7","53","14872.5","Normal",NULL,"2021-11-29 13:51:34"
"10","Caisim 5","33.7","53","14879.2","High",NULL,"2021-11-29 13:51:34"
"11","Caisim 1","33.8","52.1","15050.4","High",NULL,"2021-11-29 13:52:40"
"12","Caisim 2","33.8","52.1","15050.4","High",NULL,"2021-11-29 13:52:40"
"13","Caisim 3","33.8","52.1","15059.6","High",NULL,"2021-11-29 13:52:40"
"14","Caisim 4","33.8","52.1","15071.7","Normal",NULL,"2021-11-29 13:52:40"
"15","Caisim 5","33.8","52.1","15082.9","High",NULL,"2021-11-29 13:52:40"
"16","Caisim 1","33.8","52","15309.6","High",NULL,"2021-11-29 13:53:41"
"17","Caisim 2","33.8","52","15303.3","High",NULL,"2021-11-29 13:53:41"
"18","Caisim 3","33.8","52","15300","High",NULL,"2021-11-29 13:53:41"
"19","Caisim 4","33.8","52","15293.8","Normal",NULL,"2021-11-29 13:53:41"
"20","Caisim 5","33.8","52","15292.5","High",NULL,"2021-11-29 13:53:42"
"21","Caisim 1","34","52.2","15542.9","High",NULL,"2021-11-29 13:54:43"
"22","Caisim 2","34","52.2","15542.9","High",NULL,"2021-11-29 13:54:43"
"23","Caisim 3","34","52.2","15533.8","High",NULL,"2021-11-29 13:54:43"
"24","Caisim 4","34","52.2","15522.1","High",NULL,"2021-11-29 13:54:43"
"25","Caisim 5","34","52.2","15509.6","High",NULL,"2021-11-29 13:54:43"
"26","Caisim 1","34.1","51.1","16758.8","High",NULL,"2021-11-29 13:55:44"
"27","Caisim 2","34.1","51.1","16740.4","High",NULL,"2021-11-29 13:55:44"
"28","Caisim 3","34.1","51.1","16740.4","High",NULL,"2021-11-29 13:55:44"
"29","Caisim 4","34.1","51.1","16724.6","High",NULL,"2021-11-29 13:55:44"
"30","Caisim 5","34.1","51.1","16706.7","High",NULL,"2021-11-29 13:55:45"
"31","Caisim 1","34.4","51.2","13156.7","High",NULL,"2021-11-29 13:56:46"
"32","Caisim 2","34.4","51.2","13156.7","High",NULL,"2021-11-29 13:56:46"
"33","Caisim 3","34.4","51.2","13152.5","High",NULL,"2021-11-29 13:56:46"
"34","Caisim 4","34.4","51.2","13148.3","High",NULL,"2021-11-29 13:56:46"
"35","Caisim 5","34.4","51.2","13148.3","High",NULL,"2021-11-29 13:56:46"
"36","Caisim 1","34.6","50.7","11745.8","High",NULL,"2021-11-29 13:57:47"
"37","Caisim 2","34.6","50.7","11743.8","High",NULL,"2021-11-29 13:57:47"
