"id","name","temperature","humidity","light_intensity","soil_moisture","STATUS","time"
"1","Spinach 1","28.9","88.5","0","High",NULL,"2022-04-18 05:26:25"
"2","Spinach 2","28.9","88.5","0","High",NULL,"2022-04-18 05:26:25"
"3","Spinach 3","28.9","88.5","0","High",NULL,"2022-04-18 05:26:25"
"4","Spinach 4","28.9","88.5","0","High",NULL,"2022-04-18 05:26:25"
"5","Spinach 5","28.9","88.5","0","High",NULL,"2022-04-18 05:26:25"
"6","Spinach 1","28.6","87.3","0","High",NULL,"2022-04-18 05:29:28"
"7","Spinach 2","28.6","87.3","0","High",NULL,"2022-04-18 05:29:28"
"8","Spinach 3","28.6","87.3","0","High",NULL,"2022-04-18 05:29:28"
"9","Spinach 4","28.6","87.3","0","High",NULL,"2022-04-18 05:29:28"
"10","Spinach 5","28.6","87.3","0","High",NULL,"2022-04-18 05:29:28"
"11","Spinach 1","28.5","88.2","11.6667","High",NULL,"2022-04-18 05:30:30"
"12","Spinach 2","28.5","88.2","11.6667","High",NULL,"2022-04-18 05:30:30"
"13","Spinach 3","28.5","88.2","11.6667","High",NULL,"2022-04-18 05:30:30"
"14","Spinach 4","28.5","88.2","11.6667","High",NULL,"2022-04-18 05:30:30"
"15","Spinach 5","28.5","88.2","11.6667","High",NULL,"2022-04-18 05:30:30"
"16","Spinach 1","28.5","87.9","7.5","High",NULL,"2022-04-18 05:31:31"
"17","Spinach 2","28.5","87.9","7.5","High",NULL,"2022-04-18 05:31:31"
"18","Spinach 3","28.5","87.9","7.5","High",NULL,"2022-04-18 05:31:31"
"19","Spinach 4","28.5","87.9","7.5","High",NULL,"2022-04-18 05:31:31"
"20","Spinach 5","28.5","87.9","7.5","High",NULL,"2022-04-18 05:31:31"
"21","Spinach 1","28.5","88","7.91667","High",NULL,"2022-04-18 05:32:38"
"22","Spinach 2","28.5","88","7.91667","High",NULL,"2022-04-18 05:32:38"
"23","Spinach 3","28.5","88","7.91667","High",NULL,"2022-04-18 05:32:38"
"24","Spinach 4","28.5","88","7.91667","High",NULL,"2022-04-18 05:32:38"
"25","Spinach 5","28.5","88","7.91667","High",NULL,"2022-04-18 05:32:38"
"26","Spinach 1","28.4","88.4","7.91667","High",NULL,"2022-04-18 05:33:45"
"27","Spinach 2","28.4","88.4","7.91667","High",NULL,"2022-04-18 05:33:45"
